#string_protein_id	preferred_name	protein_size	annotation
1347342.BN863_1070	BN863_1070	110	annotation not available
1347342.BN863_10700	CDF78782.1	101	annotation not available
1347342.BN863_10710	CDF78783.1	334	annotation not available
1347342.BN863_10720	lnt	531	Catalyzes the phospholipid dependent N-acylation of the N- terminal cysteine of apolipoprotein, the last step in lipoprotein maturation
1347342.BN863_10730	CDF78785.1	329	annotation not available
1347342.BN863_10740	CDF78786.1	254	Belongs to the CDP-alcohol phosphatidyltransferase class-I family
1347342.BN863_10750	CDF78787.1	246	annotation not available
1347342.BN863_10760	CDF78788.1	116	Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity. 
1347342.BN863_10770	tatC	269	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin- arginine motif in their signal peptide across membranes. 
1347342.BN863_10780	CDF78790.1	322	Belongs to the SIS family. GutQ/KpsF subfamily. 
1347342.BN863_10790	recQ	733	annotation not available
1347342.BN863_1080	BN863_1080	47	annotation not available
1347342.BN863_10800	ackA	375	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
1347342.BN863_10810	CDF78793.1	697	Involved in acetate metabolism. 
1347342.BN863_10820	CDF78794.1	311	annotation not available
1347342.BN863_10830	CDF78795.1	409	annotation not available
1347342.BN863_10840	CDF78796.1	182	annotation not available
1347342.BN863_10850	CDF78797.1	186	annotation not available
1347342.BN863_10860	CDF78798.1	111	annotation not available
1347342.BN863_10870	CDF78799.1	306	annotation not available
1347342.BN863_10880	CDF78800.1	345	annotation not available
1347342.BN863_10890	CDF78801.1	129	annotation not available
1347342.BN863_1090	BN863_1090	861	Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle
1347342.BN863_10900	CDF78802.1	586	annotation not available
1347342.BN863_10910	CDF78803.1	367	Belongs to the Glu/Leu/Phe/Val dehydrogenases family. 
1347342.BN863_10920	CDF78804.1	314	Involved in transcription antitermination. Required for transcription of ribosomal RNA (rRNA) genes. Binds specifically to the boxA antiterminator sequence of the ribosomal RNA (rrn) operons. 
1347342.BN863_10930	CDF78805.1	164	annotation not available
1347342.BN863_10940	CDF78806.1	96	annotation not available
1347342.BN863_10950	CDF78807.1	182	annotation not available
1347342.BN863_10960	CDF78808.1	197	annotation not available
1347342.BN863_10970	CDF78809.1	163	annotation not available
1347342.BN863_10980	CDF78810.1	169	Belongs to the sigma-70 factor family. ECF subfamily. 
1347342.BN863_10990	CDF78811.1	494	annotation not available
1347342.BN863_110	BN863_110	291	annotation not available
1347342.BN863_1100	BN863_1100	71	annotation not available
1347342.BN863_11000	CDF78812.1	231	annotation not available
1347342.BN863_11010	CDF78813.1	302	annotation not available
1347342.BN863_11020	CDF78814.1	401	annotation not available
1347342.BN863_11030	CDF78815.1	518	annotation not available
1347342.BN863_11040	CDF78816.1	129	annotation not available
1347342.BN863_11050	CDF78817.1	345	annotation not available
1347342.BN863_11060	CDF78818.1	267	Belongs to the short-chain dehydrogenases/reductases (SDR) family
1347342.BN863_11070	tal	217	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway
1347342.BN863_11080	CDF78820.1	472	annotation not available
1347342.BN863_11090	CDF78821.1	539	annotation not available
1347342.BN863_1110	BN863_1110	172	Iron-storage protein
1347342.BN863_11100	CDF78822.1	78	annotation not available
1347342.BN863_11110	cspA	63	annotation not available
1347342.BN863_11120	CDF78824.1	63	annotation not available
1347342.BN863_11130	CDF78825.1	715	Catalyzes the removal of dipeptides from the N-terminus of oligopeptides
1347342.BN863_11140	pheT	808	Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily
1347342.BN863_11150	CDF78827.1	404	annotation not available
1347342.BN863_11160	recG	700	Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y- DNA)
1347342.BN863_11170	CDF78829.1	672	annotation not available
1347342.BN863_11180	CDF78830.1	301	annotation not available
1347342.BN863_11190	CDF78831.1	309	annotation not available
1347342.BN863_1120	BN863_1120	295	annotation not available
1347342.BN863_11200	CDF78832.1	111	annotation not available
1347342.BN863_11210	CDF78833.1	173	annotation not available
1347342.BN863_11220	CDF78834.1	514	Belongs to the glutamate synthase family. 
1347342.BN863_11230	CDF78835.1	525	annotation not available
1347342.BN863_11240	CDF78836.1	783	annotation not available
1347342.BN863_11250	CDF78837.1	52	annotation not available
1347342.BN863_11260	CDF78838.1	44	annotation not available
1347342.BN863_11270	CDF78839.1	287	annotation not available
1347342.BN863_11280	CDF78840.1	206	Belongs to the SUA5 family. 
1347342.BN863_11290	CDF78841.1	285	Belongs to the NadC/ModD family. 
1347342.BN863_1130	BN863_1130	301	annotation not available
1347342.BN863_11300	CDF78842.1	313	annotation not available
1347342.BN863_11310	priA	817	Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA
1347342.BN863_11320	CDF78844.1	231	annotation not available
1347342.BN863_11330	rpsF	112	Binds together with S18 to 16S ribosomal RNA. 
1347342.BN863_11340	rpsR	98	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
1347342.BN863_11350	rplI	150	Binds to the 23S rRNA
1347342.BN863_11360	CDF78848.1	157	annotation not available
1347342.BN863_11370	CDF78849.1	412	annotation not available
1347342.BN863_11380	hisS	456	annotation not available
1347342.BN863_11390	CDF78851.1	2753	annotation not available
1347342.BN863_1140	BN863_1140	714	annotation not available
1347342.BN863_11400	CDF78852.1	47	annotation not available
1347342.BN863_11410	CDF78853.1	195	annotation not available
1347342.BN863_11420	CDF78854.1	426	annotation not available
1347342.BN863_11430	CDF78855.1	196	Belongs to the UPF0312 family. 
1347342.BN863_11440	CDF78856.1	171	annotation not available
1347342.BN863_11450	murA	438	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
1347342.BN863_11460	CDF78858.1	220	annotation not available
1347342.BN863_11470	CDF78859.1	97	annotation not available
1347342.BN863_11480	CDF78860.1	180	annotation not available
1347342.BN863_11490	CDF78861.1	637	annotation not available
1347342.BN863_1150	BN863_1150	252	annotation not available
1347342.BN863_11500	fmt	307	Attaches a formyl group to the free amino group of methionyl- tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
1347342.BN863_11510	CDF78863.1	115	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions
1347342.BN863_11520	CDF78864.1	186	Belongs to the UPF0301 (AlgH) family. 
1347342.BN863_11530	CDF78865.1	280	annotation not available
1347342.BN863_11540	CDF78866.1	128	annotation not available
1347342.BN863_11550	ribB	221	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate. Rule:MF_00180, ECO:0000256|RuleBase:RU003843,
1347342.BN863_11560	CDF78868.1	191	annotation not available
1347342.BN863_11570	CDF78869.1	792	annotation not available
1347342.BN863_11580	CDF78870.1	539	annotation not available
1347342.BN863_11590	CDF78871.1	356	annotation not available
1347342.BN863_1160	metG	695	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
1347342.BN863_11600	CDF78872.1	471	annotation not available
1347342.BN863_11610	CDF78873.1	527	annotation not available
1347342.BN863_11620	CDF78874.1	332	annotation not available
1347342.BN863_11630	CDF78875.1	615	annotation not available
1347342.BN863_11640	CDF78876.1	334	annotation not available
1347342.BN863_11650	CDF78877.1	48	annotation not available
1347342.BN863_11660	CDF78878.1	763	annotation not available
1347342.BN863_11670	CDF78879.1	431	annotation not available
1347342.BN863_11680	CDF78880.1	93	annotation not available
1347342.BN863_11690	CDF78881.1	320	annotation not available
1347342.BN863_1170	BN863_1170	342	annotation not available
1347342.BN863_11700	CDF78882.1	102	annotation not available
1347342.BN863_11710	CDF78883.1	200	annotation not available
1347342.BN863_11720	CDF78884.1	386	annotation not available
1347342.BN863_11730	CDF78885.1	170	annotation not available
1347342.BN863_11740	CDF78886.1	91	annotation not available
1347342.BN863_11750	CDF78887.1	487	annotation not available
1347342.BN863_11760	CDF78888.1	174	annotation not available
1347342.BN863_11770	CDF78889.1	251	annotation not available
1347342.BN863_11780	CDF78890.1	333	annotation not available
1347342.BN863_11790	rlpA	119	Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides
1347342.BN863_1180	BN863_1180	44	annotation not available
1347342.BN863_11800	CDF78892.1	178	annotation not available
1347342.BN863_11810	CDF78893.1	446	Belongs to the glycosyl hydrolase 1 family. 
1347342.BN863_11820	CDF78894.1	321	annotation not available
1347342.BN863_11830	CDF78895.1	185	annotation not available
1347342.BN863_11840	CDF78896.1	485	annotation not available
1347342.BN863_11850	CDF78897.1	344	annotation not available
1347342.BN863_11860	CDF78898.1	751	annotation not available
1347342.BN863_11870	CDF78899.1	262	Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine
1347342.BN863_11880	CDF78900.1	260	annotation not available
1347342.BN863_11890	CDF78901.1	161	annotation not available
1347342.BN863_1190	BN863_1190	102	annotation not available
1347342.BN863_11900	CDF78902.1	123	annotation not available
1347342.BN863_11910	CDF78903.1	159	annotation not available
1347342.BN863_11920	CDF78904.1	405	annotation not available
1347342.BN863_11930	CDF78905.1	266	annotation not available
1347342.BN863_11940	CDF78906.1	731	annotation not available
1347342.BN863_11950	CDF78907.1	266	annotation not available
1347342.BN863_11960	CDF78908.1	103	annotation not available
1347342.BN863_11970	CDF78909.1	1444	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
1347342.BN863_11980	CDF78910.1	400	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
1347342.BN863_11990	CDF78911.1	138	Belongs to the Fur family
1347342.BN863_120	BN863_120	553	annotation not available
1347342.BN863_1200	BN863_1200	635	annotation not available
1347342.BN863_12000	CDF78912.1	647	annotation not available
1347342.BN863_12010	CDF78913.1	315	annotation not available
1347342.BN863_12020	CDF78914.1	194	annotation not available
1347342.BN863_12030	CDF78915.1	164	annotation not available
1347342.BN863_12040	CDF78916.1	373	annotation not available
1347342.BN863_12050	menD	585	Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2- succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate (SEPHCHC). 
1347342.BN863_12060	CDF78918.1	277	Belongs to the CvfB family. 
1347342.BN863_12070	CDF78919.1	371	Belongs to the peptidase C1 family. 
1347342.BN863_12080	menB	279	Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4-dihydroxy-2- naphthoyl-CoA (DHNA-CoA)
1347342.BN863_12090	menA	300	Conversion of 1,4-dihydroxy-2-naphthoate (DHNA) to demethylmenaquinone (DMK)
1347342.BN863_1210	BN863_1210	119	Belongs to the UPF0102 family
1347342.BN863_12100	CDF78922.1	225	Belongs to the UPF0173 family
1347342.BN863_12110	CDF78923.1	301	annotation not available
1347342.BN863_12120	CDF78924.1	345	annotation not available
1347342.BN863_12130	CDF78925.1	324	annotation not available
1347342.BN863_12140	CDF78926.1	359	annotation not available
1347342.BN863_12150	CDF78927.1	542	annotation not available
1347342.BN863_12160	CDF78928.1	120	annotation not available
1347342.BN863_12170	CDF78929.1	176	annotation not available
1347342.BN863_12180	CDF78930.1	145	annotation not available
1347342.BN863_12190	CDF78931.1	240	Belongs to the pirin family. 
1347342.BN863_1220	BN863_1220	320	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
1347342.BN863_12200	CDF78932.1	391	annotation not available
1347342.BN863_12210	CDF78933.1	390	annotation not available
1347342.BN863_12220	CDF78934.1	60	annotation not available
1347342.BN863_12230	CDF78935.1	563	annotation not available
1347342.BN863_12240	CDF78936.1	78	annotation not available
1347342.BN863_12250	CDF78937.1	256	annotation not available
1347342.BN863_12260	CDF78938.1	339	Belongs to the arginase family
1347342.BN863_12270	CDF78939.1	294	annotation not available
1347342.BN863_12280	hutI	412	annotation not available
1347342.BN863_12290	CDF78941.1	190	annotation not available
1347342.BN863_1230	BN863_1230	433	annotation not available
1347342.BN863_12300	CDF78942.1	252	annotation not available
1347342.BN863_12310	CDF78943.1	211	annotation not available
1347342.BN863_12320	CDF78944.1	407	annotation not available
1347342.BN863_12330	CDF78945.1	331	annotation not available
1347342.BN863_12340	CDF78946.1	571	annotation not available
1347342.BN863_12350	CDF78947.1	513	annotation not available
1347342.BN863_12360	CDF78948.1	480	annotation not available
1347342.BN863_12370	CDF78949.1	161	annotation not available
1347342.BN863_12380	CDF78950.1	220	annotation not available
1347342.BN863_12390	CDF78951.1	641	annotation not available
1347342.BN863_1240	mfd	1109	Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site
1347342.BN863_12400	prsW	222	annotation not available
1347342.BN863_12410	CDF78953.1	421	annotation not available
1347342.BN863_12420	CDF78954.1	327	annotation not available
1347342.BN863_12430	CDF78955.1	221	annotation not available
1347342.BN863_12440	CDF78956.1	187	annotation not available
1347342.BN863_12450	CDF78957.1	362	annotation not available
1347342.BN863_12460	CDF78958.1	235	annotation not available
1347342.BN863_12470	CDF78959.1	208	annotation not available
1347342.BN863_12480	CDF78960.1	143	annotation not available
1347342.BN863_12490	CDF78961.1	224	annotation not available
1347342.BN863_1250	terB	143	annotation not available
1347342.BN863_12500	CDF78962.1	243	annotation not available
1347342.BN863_12510	CDF78963.1	385	Belongs to the methyltransferase superfamily. 
1347342.BN863_12520	CDF78964.1	171	annotation not available
1347342.BN863_12530	CDF78965.1	250	annotation not available
1347342.BN863_12540	CDF78966.1	179	annotation not available
1347342.BN863_12550	CDF78967.1	469	Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA M5U methyltransferase family
1347342.BN863_12560	CDF78968.1	414	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
1347342.BN863_12570	CDF78969.1	107	annotation not available
1347342.BN863_12580	CDF78970.1	98	annotation not available
1347342.BN863_12590	CDF78971.1	64	annotation not available
1347342.BN863_1260	fbp	337	Belongs to the FBPase class 1 family. Rule:MF_01855, ECO:0000256|RuleBase:RU000508,
1347342.BN863_12600	CDF78972.1	185	annotation not available
1347342.BN863_12610	CDF78973.1	115	annotation not available
1347342.BN863_12620	CDF78974.1	86	annotation not available
1347342.BN863_12630	CDF78975.1	49	annotation not available
1347342.BN863_12640	CDF78976.1	164	annotation not available
1347342.BN863_12650	CDF78977.1	336	annotation not available
1347342.BN863_12660	CDF78978.1	1149	Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. 
1347342.BN863_12670	CDF78979.1	598	annotation not available
1347342.BN863_12680	CDF78980.1	427	annotation not available
1347342.BN863_12690	CDF78981.1	47	annotation not available
1347342.BN863_1270	BN863_1270	159	annotation not available
1347342.BN863_12700	CDF78982.1	107	annotation not available
1347342.BN863_12710	glsA	311	Belongs to the glutaminase family
1347342.BN863_12720	CDF78984.1	773	annotation not available
1347342.BN863_12730	CDF78985.1	465	annotation not available
1347342.BN863_12740	CDF78986.1	258	annotation not available
1347342.BN863_12750	CDF78987.1	498	annotation not available
1347342.BN863_12760	CDF78988.1	325	annotation not available
1347342.BN863_12770	CDF78989.1	296	annotation not available
1347342.BN863_12780	lasA	270	annotation not available
1347342.BN863_12790	CDF78991.1	195	annotation not available
1347342.BN863_1280	BN863_1280	415	Belongs to the aspartokinase family. 
1347342.BN863_12800	CDF78992.1	228	annotation not available
1347342.BN863_12810	CDF78993.1	92	annotation not available
1347342.BN863_12820	CDF78994.1	546	annotation not available
1347342.BN863_12830	CDF78995.1	191	annotation not available
1347342.BN863_12840	CDF78996.1	181	annotation not available
1347342.BN863_12850	CDF78997.1	98	annotation not available
1347342.BN863_12860	CDF78998.1	301	annotation not available
1347342.BN863_12870	CDF78999.1	344	annotation not available
1347342.BN863_12880	CDF79000.1	261	Belongs to the MtfA family. 
1347342.BN863_12890	CDF79001.1	288	annotation not available
1347342.BN863_1290	BN863_1290	620	annotation not available
1347342.BN863_12900	CDF79002.1	312	annotation not available
1347342.BN863_12910	CDF79003.1	57	annotation not available
1347342.BN863_12920	CDF79004.1	278	annotation not available
1347342.BN863_12930	CDF79005.1	327	annotation not available
1347342.BN863_12940	CDF79006.1	564	Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
1347342.BN863_12950	CDF79007.1	841	annotation not available
1347342.BN863_12960	corA	358	Mediates influx of magnesium ions. 
1347342.BN863_12970	CDF79009.1	176	annotation not available
1347342.BN863_12980	CDF79010.1	195	Nucleoside triphosphate pyrophosphatase that hydrolyzes dTTP and UTP. May have a dual role in cell division arrest and in preventing the incorporation of modified nucleotides into cellular nucleic acids. 
1347342.BN863_12990	CDF79011.1	300	annotation not available
1347342.BN863_130	BN863_130	221	annotation not available
1347342.BN863_1300	BN863_1300	882	annotation not available
1347342.BN863_13000	CDF79012.1	176	annotation not available
1347342.BN863_13010	CDF79013.1	255	annotation not available
1347342.BN863_13020	CDF79014.1	131	annotation not available
1347342.BN863_13030	CDF79015.1	1064	annotation not available
1347342.BN863_13040	CDF79016.1	237	annotation not available
1347342.BN863_13050	CDF79017.1	198	annotation not available
1347342.BN863_13060	mscL	148	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell
1347342.BN863_13070	CDF79019.1	38	annotation not available
1347342.BN863_13080	CDF79020.1	189	Belongs to the glutathione peroxidase family. 
1347342.BN863_13090	CDF79021.1	389	annotation not available
1347342.BN863_1310	BN863_1310	253	annotation not available
1347342.BN863_13100	CDF79022.1	238	annotation not available
1347342.BN863_13110	CDF79023.1	315	annotation not available
1347342.BN863_13120	CDF79024.1	930	annotation not available
1347342.BN863_13130	CDF79025.1	289	annotation not available
1347342.BN863_13140	CDF79026.1	179	annotation not available
1347342.BN863_13150	CDF79027.1	99	annotation not available
1347342.BN863_13160	CDF79028.1	101	annotation not available
1347342.BN863_13170	CDF79029.1	449	annotation not available
1347342.BN863_13180	CDF79030.1	814	annotation not available
1347342.BN863_13190	CDF79031.1	39	annotation not available
1347342.BN863_1320	BN863_1320	128	annotation not available
1347342.BN863_13200	CDF79032.1	258	annotation not available
1347342.BN863_13210	CDF79033.1	220	annotation not available
1347342.BN863_13220	CDF79034.1	52	annotation not available
1347342.BN863_13230	CDF79035.1	105	annotation not available
1347342.BN863_13240	CDF79036.1	137	annotation not available
1347342.BN863_13250	CDF79037.1	392	annotation not available
1347342.BN863_13260	CDF79038.1	361	annotation not available
1347342.BN863_13270	CDF79039.1	167	annotation not available
1347342.BN863_13280	CDF79040.1	213	annotation not available
1347342.BN863_13290	CDF79041.1	234	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit
1347342.BN863_1330	BN863_1330	150	annotation not available
1347342.BN863_13300	CDF79042.1	202	annotation not available
1347342.BN863_13310	tsaD	340	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction
1347342.BN863_13320	CDF79044.1	1470	annotation not available
1347342.BN863_13330	pfkA	328	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis
1347342.BN863_13340	CDF79046.1	334	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family
1347342.BN863_13350	CDF79047.1	287	annotation not available
1347342.BN863_13360	mgsA	120	Catalyzes the formation of methylglyoxal from dihydroxyacetone phosphate
1347342.BN863_13370	CDF79049.1	606	annotation not available
1347342.BN863_13380	CDF79050.1	225	annotation not available
1347342.BN863_13390	CDF79051.1	232	annotation not available
1347342.BN863_1340	BN863_1340	312	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
1347342.BN863_13400	CDF79052.1	477	annotation not available
1347342.BN863_13410	CDF79053.1	223	annotation not available
1347342.BN863_13420	CDF79054.1	824	annotation not available
1347342.BN863_13430	CDF79055.1	562	annotation not available
1347342.BN863_13440	CDF79056.1	96	annotation not available
1347342.BN863_13450	CDF79057.1	97	annotation not available
1347342.BN863_13460	rny	518	Endoribonuclease that initiates mRNA decay. 
1347342.BN863_13470	CDF79059.1	295	annotation not available
1347342.BN863_13480	CDF79060.1	398	Required for the transposition of the insertion element. 
1347342.BN863_13490	CDF79061.1	565	annotation not available
1347342.BN863_1350	BN863_1350	457	Acts as a magnesium transporter. 
1347342.BN863_13500	CDF79062.1	40	annotation not available
1347342.BN863_13510	CDF79063.1	97	annotation not available
1347342.BN863_13520	CDF79064.1	46	annotation not available
1347342.BN863_13530	CDF79065.1	242	annotation not available
1347342.BN863_13540	CDF79066.1	62	annotation not available
1347342.BN863_13550	CDF79067.1	323	annotation not available
1347342.BN863_13560	CDF79068.1	200	annotation not available
1347342.BN863_13570	CDF79069.1	91	annotation not available
1347342.BN863_13580	CDF79070.1	90	annotation not available
1347342.BN863_13590	CDF79071.1	181	annotation not available
1347342.BN863_1360	rsmA	261	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits
1347342.BN863_13600	CDF79072.1	376	Belongs to the 'phage' integrase family. 
1347342.BN863_13610	CDF79073.1	322	annotation not available
1347342.BN863_13620	CDF79074.1	158	annotation not available
1347342.BN863_13630	CDF79075.1	741	annotation not available
1347342.BN863_13640	CDF79076.1	115	annotation not available
1347342.BN863_13650	CDF79077.1	103	annotation not available
1347342.BN863_13660	CDF79078.1	153	annotation not available
1347342.BN863_13670	CDF79079.1	269	annotation not available
1347342.BN863_13680	CDF79080.1	222	annotation not available
1347342.BN863_13690	CDF79081.1	273	annotation not available
1347342.BN863_1370	BN863_1370	108	annotation not available
1347342.BN863_13700	CDF79082.1	433	annotation not available
1347342.BN863_13710	CDF79083.1	583	annotation not available
1347342.BN863_13720	CDF79084.1	150	annotation not available
1347342.BN863_13730	CDF79085.1	303	annotation not available
1347342.BN863_13740	CDF79086.1	306	annotation not available
1347342.BN863_13750	CDF79087.1	657	annotation not available
1347342.BN863_13760	CDF79088.1	142	annotation not available
1347342.BN863_13770	CDF79089.1	293	annotation not available
1347342.BN863_13780	CDF79090.1	142	annotation not available
